label,Population,Sex,Treatment,Individual,Side,Centroid Size,Log Centroid Size
G9_F_S_23_L,G9,F,S,23,L,2.441412578,0.892576797
G9_F_S_23_R,G9,F,S,23,R,2.453683063,0.897590187
G9_F_S_24_L,G9,F,S,24,L,2.335057153,0.848036367
G9_F_S_24_R,G9,F,S,24,R,2.353257977,0.855800741
G9_F_S_25_L,G9,F,S,25,L,2.881405256,1.058278111
G9_F_S_25_R,G9,F,S,25,R,2.889349127,1.061031261
G9_F_S_26_L,G9,F,S,26,L,2.460638477,0.90042086
G9_F_S_26_R,G9,F,S,26,R,2.469090017,0.903849669
G9_F_S_27_L,G9,F,S,27,L,2.477347938,0.907188608
G9_F_S_27_R,G9,F,S,27,R,2.441538214,0.892628256
G9_F_S_28_L,G9,F,S,28,L,2.573564959,0.945292081
G9_F_S_28_R,G9,F,S,28,R,2.581207534,0.948257326
G9_F_S_29_L,G9,F,S,29,L,2.903402207,1.065883224
G9_F_S_29_R,G9,F,S,29,R,2.89876954,1.06428635
G9_F_S_30_L,G9,F,S,30,L,2.906630722,1.066994583
G9_F_S_30_R,G9,F,S,30,R,2.90098994,1.065052037
G9_F_S_31_L,G9,F,S,31,L,3.042544666,1.112694227
G9_F_S_31_R,G9,F,S,31,R,3.040137355,1.111902697
G9_F_S_32_L,G9,F,S,32,L,2.940458404,1.078565489
G9_F_S_32_R,G9,F,S,32,R,2.96641541,1.087354291
G9_F_S_33_L,G9,F,S,33,L,2.608073775,0.958611932
G9_F_S_33_R,G9,F,S,33,R,2.605168512,0.957497361
G9_F_S_34_L,G9,F,S,34,L,2.660876932,0.978655742
G9_F_S_34_R,G9,F,S,34,R,2.66111946,0.978746884
G9_F_S_35_L,G9,F,S,35,L,2.708489221,0.996390996
G9_F_S_35_R,G9,F,S,35,R,2.734719971,1.006029044
G9_F_S_36_L,G9,F,S,36,L,2.745191446,1.009850816
G9_F_S_36_R,G9,F,S,36,R,2.747949854,1.010855126
G9_F_S_37_L,G9,F,S,37,L,2.481000809,0.908662031
G9_F_S_37_R,G9,F,S,37,R,2.487055799,0.911099601
G9_F_S_38_L,G9,F,S,38,L,2.826106521,1.038899977
G9_F_S_38_R,G9,F,S,38,R,2.844285655,1.045311948
G9_F_S_39_L,G9,F,S,39,L,2.690188487,0.989611261
G9_F_S_39_R,G9,F,S,39,R,2.706739587,0.995744806
G9_F_S_40_L,G9,F,S,40,L,2.272200588,0.820748784
G9_F_S_40_R,G9,F,S,40,R,2.241313586,0.807062116
G9_F_S_41_L,G9,F,S,41,L,2.768369685,1.018258586
G9_F_S_41_R,G9,F,S,41,R,2.686158571,0.988112132
G9_F_S_42_L,G9,F,S,42,L,2.394652121,0.873237968
G9_F_S_42_R,G9,F,S,42,R,2.414695456,0.881573174
G9_F_S_43_L,G9,F,S,43,L,2.729807426,1.004231067
G9_F_S_43_R,G9,F,S,43,R,2.731043042,1.004683603
G9_F_S_44_L,G9,F,S,44,L,2.787205724,1.025039562
G9_F_S_44_R,G9,F,S,44,R,2.783526275,1.023718568
G9_F_S_45_L,G9,F,S,45,L,2.293324955,0.83000271
G9_F_S_45_R,G9,F,S,45,R,2.294149045,0.830361988
G9_F_S_46_L,G9,F,S,46,L,2.779146775,1.022143965
G9_F_S_46_R,G9,F,S,46,R,2.771575098,1.019415786
G9_F_S_47_L,G9,F,S,47,L,2.597715086,0.954632245
G9_F_S_47_R,G9,F,S,47,R,2.627666035,0.966096013
