Line,Temp,Sex,Code,Ind,CsizeScaled,Pop,Elevation,Lat,Lon
CN3,24C,M,32510,5,3.990916289,CN,1121,5.5,10.68
CN4,24C,M,32610,1,4.236295442,CN,1121,5.5,10.68
CN4,24C,M,32610,2,4.428056321,CN,1121,5.5,10.68
CN4,24C,M,32610,4,4.443282141,CN,1121,5.5,10.68
CN4,24C,M,32610,5,3.974570185,CN,1121,5.5,10.68
CN5,24C,M,32510,1,3.982921508,CN,1121,5.5,10.68
CN5,24C,M,32510,2,4.340406193,CN,1121,5.5,10.68
CN5,24C,M,32510,3,3.985144121,CN,1121,5.5,10.68
CN5,24C,M,32510,4,3.850466108,CN,1121,5.5,10.68
CN5,24C,M,32510,5,4.185462703,CN,1121,5.5,10.68
CN6,24C,M,32310,1,3.849735077,CN,1121,5.5,10.68
CN6,24C,M,32310,2,3.793527347,CN,1121,5.5,10.68
CN6,24C,M,32310,3,3.745332935,CN,1121,5.5,10.68
CN6,24C,M,32310,5,4.081971824,CN,1121,5.5,10.68
CO1,24C,F,42610,1,4.421134306,CO,2169,6.25,10.43
CO1,24C,F,42610,2,4.29110046,CO,2169,6.25,10.43
CO1,24C,F,42610,3,4.194734559,CO,2169,6.25,10.43
CO1,24C,F,42610,4,4.417737617,CO,2169,6.25,10.43
CO1,24C,F,42610,5,4.189028148,CO,2169,6.25,10.43
CO2,24C,F,42610,1,4.111142631,CO,2169,6.25,10.43
CO2,24C,F,42610,2,4.22968041,CO,2169,6.25,10.43
CO2,24C,F,42610,3,4.521444678,CO,2169,6.25,10.43
CO2,24C,F,42610,4,4.39747318,CO,2169,6.25,10.43
CO2,24C,F,42610,5,4.832886659,CO,2169,6.25,10.43
CO4,24C,F,42710,1,4.698467153,CO,2169,6.25,10.43
CO4,24C,F,42710,2,4.486965804,CO,2169,6.25,10.43
CO4,24C,F,42710,3,4.629452146,CO,2169,6.25,10.43
CO4,24C,F,42710,4,4.110835372,CO,2169,6.25,10.43
CO4,24C,F,42710,5,4.394511795,CO,2169,6.25,10.43
CO8,24C,F,42610,1,4.089220694,CO,2169,6.25,10.43
CO8,24C,F,42610,2,4.77416427,CO,2169,6.25,10.43
CO8,24C,F,42610,3,4.882779657,CO,2169,6.25,10.43
CO8,24C,F,42610,4,4.940362011,CO,2169,6.25,10.43
CO8,24C,F,42610,5,4.567772274,CO,2169,6.25,10.43
CO9,24C,F,42610,1,4.766149742,CO,2169,6.25,10.43
CO9,24C,F,42610,2,4.693392817,CO,2169,6.25,10.43
CO9,24C,F,42610,3,4.462638863,CO,2169,6.25,10.43
CO9,24C,F,42610,4,4.921666187,CO,2169,6.25,10.43
CO9,24C,F,42610,5,4.310561408,CO,2169,6.25,10.43
CO1,24C,M,32510,1,4.374593122,CO,2169,6.25,10.43
CO1,24C,M,32510,2,3.867458686,CO,2169,6.25,10.43
CO1,24C,M,32510,3,4.231736877,CO,2169,6.25,10.43
CO1,24C,M,32510,4,3.70851471,CO,2169,6.25,10.43
CO1,24C,M,32510,5,4.267125634,CO,2169,6.25,10.43
CO2,24C,M,41910,1,4.459031783,CO,2169,6.25,10.43
CO2,24C,M,41910,2,3.887207745,CO,2169,6.25,10.43
CO2,24C,M,41910,3,3.837958808,CO,2169,6.25,10.43
CO2,24C,M,41910,4,3.794956395,CO,2169,6.25,10.43
CO2,24C,M,41910,5,3.934286782,CO,2169,6.25,10.43
CO4,24C,M,32610,1,4.201948076,CO,2169,6.25,10.43
CO4,24C,M,32610,2,4.280175382,CO,2169,6.25,10.43
CO4,24C,M,32610,3,4.0256612,CO,2169,6.25,10.43
CO4,24C,M,32610,4,3.870191923,CO,2169,6.25,10.43
CO4,24C,M,32610,5,4.069481184,CO,2169,6.25,10.43
CO8,24C,M,32610,2,4.471648985,CO,2169,6.25,10.43
CO8,24C,M,32610,3,4.390871678,CO,2169,6.25,10.43
CO8,24C,M,32610,4,4.468320693,CO,2169,6.25,10.43
CO9,24C,M,32510,2,4.104635671,CO,2169,6.25,10.43
CO9,24C,M,32510,3,4.135949671,CO,2169,6.25,10.43
CO9,24C,M,32510,4,4.200328148,CO,2169,6.25,10.43
CO9,24C,M,32510,5,4.173103293,CO,2169,6.25,10.43
GA124,24C,F,42810,1,4.510975232,GA,332,-1.65,13.6
GA124,24C,F,42810,2,3.957612616,GA,332,-1.65,13.6
GA124,24C,F,42810,3,4.535535669,GA,332,-1.65,13.6
GA124,24C,F,42810,4,4.629677868,GA,332,-1.65,13.6
GA124,24C,M,32610,1,4.064189066,GA,332,-1.65,13.6
GA124,24C,M,32610,2,3.893500724,GA,332,-1.65,13.6
GA124,24C,M,32610,3,4.113206542,GA,332,-1.65,13.6
GA124,24C,M,32610,4,4.025698436,GA,332,-1.65,13.6
GA124,24C,M,32610,5,4.028623322,GA,332,-1.65,13.6
GA125,24C,F,42710,1,4.487725618,GA,332,-1.65,13.6
GA125,24C,F,42710,2,4.083012731,GA,332,-1.65,13.6
GA125,24C,F,42710,3,4.626009783,GA,332,-1.65,13.6
GA125,24C,F,42710,4,4.191111627,GA,332,-1.65,13.6
GA125,24C,F,42710,5,4.566836884,GA,332,-1.65,13.6
GA125,24C,M,22210,1,3.52838638,GA,332,-1.65,13.6
GA125,24C,M,22210,2,3.689403639,GA,332,-1.65,13.6
GA125,24C,M,22210,4,3.926520626,GA,332,-1.65,13.6
GA125,24C,M,22210,5,3.747223156,GA,332,-1.65,13.6
GA141,24C,F,42810,1,4.508101472,GA,332,-1.65,13.6
GA141,24C,F,42810,2,4.54328598,GA,332,-1.65,13.6
GA141,24C,F,42810,3,4.295721496,GA,332,-1.65,13.6
GA141,24C,F,42810,4,4.462675096,GA,332,-1.65,13.6
GA141,24C,F,42810,5,4.418730233,GA,332,-1.65,13.6
GA141,24C,M,32610,1,4.220229803,GA,332,-1.65,13.6
GA141,24C,M,32610,3,3.834191138,GA,332,-1.65,13.6
GA141,24C,M,32610,4,3.945202361,GA,332,-1.65,13.6
GA145,24C,F,42710,1,4.838019327,GA,332,-1.65,13.6
GA145,24C,F,42710,2,4.674589756,GA,332,-1.65,13.6
